stock_id,stock_name,year,type
2841,台開,2020,normal
2845,遠東銀,2020,bank
2849,安泰銀,2020,bank
2850,新產,2020,insurance
2851,中再保,2020,insurance
2852,第一保,2020,insurance
2855,統一證,2020,security
2867,三商壽,2020,insurance
2880,華南金,2020,financial_holding
2881,富邦金,2020,financial_holding
2882,國泰金,2020,financial_holding
2883,開發金,2020,financial_holding
2884,玉山金,2020,financial_holding
2885,元大金,2020,financial_holding
2886,兆豐金,2020,financial_holding
2887,台新金,2020,financial_holding
2888,新光金,2020,financial_holding
2889,國票金,2020,financial_holding
2890,永豐金,2020,financial_holding
2891,中信金,2020,financial_holding
2892,第一金,2020,financial_holding
2897,王道銀行,2020,bank
2901,欣欣,2020,normal
2903,遠百,2020,normal
2904,匯僑,2020,normal
2905,三商,2020,normal
2906,高林,2020,normal
2908,特力,2020,normal
2910,統領,2020,normal
2911,麗嬰房,2020,normal
2912,統一超,2020,normal
2913,農林,2020,normal
2915,潤泰全,2020,normal
2916,滿心,2020,normal
2923,鼎固-KY,2020,normal
2924,東凌-KY,2020,normal
2926,誠品生活,2020,normal
2928,紅馬-KY,2020,normal
2929,淘帝-KY,2020,normal
2936,客思達-KY,2020,normal
2937,集雅社,2020,normal
2939,凱羿-KY,2020,normal
3002,歐格,2020,normal
3003,健和興,2020,normal
3004,豐達科,2020,normal
3005,神基,2020,normal
3006,晶豪科,2020,normal
3008,大立光,2020,normal
3010,華立,2020,normal
3011,今皓,2020,normal
3013,晟銘電,2020,normal
3014,聯陽,2020,normal
3015,全漢,2020,normal
3016,嘉晶,2020,normal
3017,奇鋐,2020,normal
3018,同開,2020,normal
3019,亞光,2020,normal
3021,鴻名,2020,normal
3022,威強電,2020,normal
3023,信邦,2020,normal
3024,憶聲,2020,normal
3025,星通,2020,normal
3026,禾伸堂,2020,normal
3027,盛達,2020,normal
3028,增你強,2020,normal
3029,零壹,2020,normal
3030,德律,2020,normal
3031,佰鴻,2020,normal
3032,偉訓,2020,normal
3033,威健,2020,normal
3034,聯詠,2020,normal
3035,智原,2020,normal
3036,文曄,2020,normal
3037,欣興,2020,normal
3038,全台,2020,normal
3040,遠見,2020,normal
3041,揚智,2020,normal
3042,晶技,2020,normal
3043,科風,2020,normal
3044,健鼎,2020,normal
3045,台灣大,2020,normal
3046,建碁,2020,normal
3047,訊舟,2020,normal
3048,益登,2020,normal
3049,和鑫,2020,normal
3050,鈺德,2020,normal
3051,力特,2020,normal
3052,夆典,2020,normal
3054,立萬利,2020,normal
3055,蔚華科,2020,normal
3056,總太,2020,normal
3057,喬鼎,2020,normal
3058,立德,2020,normal
3059,華晶科,2020,normal
3060,銘異,2020,normal
3062,建漢,2020,normal
3064,泰偉,2020,normal
3066,李洲,2020,normal
3067,全域,2020,normal
3071,協禧,2020,normal
3073,天方能源,2020,normal
3078,僑威,2020,normal
3081,聯亞,2020,normal
3083,網龍,2020,normal
3085,新零售,2020,normal
3086,華義,2020,normal
3088,艾訊,2020,normal
3089,元炬,2020,normal
3090,日電貿,2020,normal
3092,鴻碩,2020,normal
3093,港建,2020,normal
3094,聯傑,2020,normal
3095,及成,2020,normal
3105,穩懋,2020,normal
3114,好德,2020,normal
3115,寶島極,2020,normal
3118,進階,2020,normal
3122,笙泉,2020,normal
3128,昇銳,2020,normal
3130,一零四,2020,normal
3131,弘塑,2020,normal
3138,耀登,2020,normal
3141,晶宏,2020,normal
3144,新揚科,2020,normal
